l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
7895#3487#4034#380000;380000#3;3###Adapazarı-1 DGKÇ EİH;Adapazarı-1 DGKÇ EİH###4548.73332769311#####''#SRID=4326;LINESTRING(30.3926006657985 40.8214765506606,30.3935175571446 40.8624314451451)#line
8025#4080#4038#154000#6###Ambarlı TM - İkitelli TM EİH###14669.4065169439#####''#SRID=4326;LINESTRING(28.6921817355865 40.9831729735039,28.789349074853 41.068808384583)#line
8027#319#411#380000;380000#####TEİAŞ##741.570171076111#####''#SRID=4326;LINESTRING(26.9602433063062 38.755998940134,26.9564708895418 38.7480483115657)#line
4324#345#1091#380000;380000;380000;380000;380000;380000;380000#3;3;3;3;3;3;3###Atatürk HES TM - Elbistan-B TES TM EİH;Atatürk HES TM - Elbistan-B TES TM EİH;Atatürk HES TM - Elbistan-B TES TM EİH;Atatürk HES TM - Elbistan-B TES TM EİH;Atatürk HES TM - Elbistan-B TES TM EİH;Atatürk HES TM - Elbistan-B TES TM EİH;Atatürk HES TM - Elbistan-B TES TM EİH###177366.38956393#####''#SRID=4326;LINESTRING(36.9118099387699 38.3544742488174,38.3083690895773 37.4567960804857)#line
4325#537#1091#380000;380000;380000;380000;380000;380000;380000;380000;380000;380000#3;3;3;3;3;3;3;3;3;3###Göksun SKM - Atatürk HES TM EİH;Göksun SKM - Atatürk HES TM EİH;Göksun SKM - Atatürk HES TM EİH;Göksun SKM - Atatürk HES TM EİH;Göksun SKM - Atatürk HES TM EİH;Göksun SKM - Atatürk HES TM EİH;Göksun SKM - Atatürk HES TM EİH;Göksun SKM - Atatürk HES TM EİH;Göksun SKM - Atatürk HES TM EİH;Göksun SKM - Atatürk HES TM EİH##3Ph-180#180222.104138174#####''#SRID=4326;LINESTRING(36.605141215213 38.0906311040606,38.3083690895773 37.4567960804857)#line
4347#721#375#380000;380000;380000#3;3;3###Karakaya HES TM - Diyarbakır-3 TM EİH;Karakaya HES TM - Diyarbakır-3 TM EİH;Karakaya HES TM - Diyarbakır-3 TM EİH###94374.3179943126#####''#SRID=4326;LINESTRING(39.1396589712098 38.2011730205036,40.1423961754052 38.024101730421)#line
4348#1091#3625#380000;380000;380000;380000#2;2;2;2###Atatürk HES TM - Karakaya HES TM EİH;Atatürk HES TM - Karakaya HES TM EİH;Atatürk HES TM - Karakaya HES TM EİH;Atatürk HES TM - Karakaya HES TM EİH###73497.1367150236#####''#SRID=4326;LINESTRING(38.3083690895773 37.4567960804857,38.9688288105439 37.5756402616978)#line
4376#4036#408#380000;380000;380000;380000;380000;380000;380000#3;3;3;3;3;3;3###Işıklar TM - Yatağan TM EİH;Işıklar TM - Yatağan TM EİH;Işıklar TM - Yatağan TM EİH;Işıklar TM - Yatağan TM EİH;Işıklar TM - Yatağan TM EİH;Işıklar TM - Yatağan TM EİH;Işıklar TM - Yatağan TM EİH###145626.114705237#####''#SRID=4326;LINESTRING(28.0995839337025 37.3288582835617,27.2422142832044 38.4186463177372)#line
4889#3553#3554#380000####Afyon-2 TM - Denizli OSB TM EİH###11667.0970649512#####''#SRID=4326;LINESTRING(29.2656630638922 37.798954589089,29.3130053573437 37.8934765361492)#line
4379#569#4046#380000;380000;380000;380000;380000;380000;380000;380000#2;2;2;2;2;2;2;2###Afyon-2 TM - Seydişehir TM EİH;Afyon-2 TM - Seydişehir TM EİH;Afyon-2 TM - Seydişehir TM EİH;Afyon-2 TM - Seydişehir TM EİH;Afyon-2 TM - Seydişehir TM EİH;Afyon-2 TM - Seydişehir TM EİH;Afyon-2 TM - Seydişehir TM EİH;Afyon-2 TM - Seydişehir TM EİH###187534.337738793#####''#SRID=4326;LINESTRING(31.8627699756226 37.4595648364813,30.5805364176601 38.7915467568364)#line
4395#4048#4506#154000;154000#3;3###Hamitabat DGKÇ - Ulaş TM EİH;Hamitabat DGKÇ - Ulaş TM EİH###43234.7297534811#####''#SRID=4326;LINESTRING(27.3384045391587 41.4815102048694,27.7361393672066 41.2604010001066)#line
4400#601#451#380000;380000#3;3###Adapazarı-2 TM - Osmanca TM EİH;Adapazarı-2 DGKÇ- Osmanca TM EİH###67564.9206268195#####''#SRID=4326;LINESTRING(31.1381436791109 40.9164670824886,30.3841831876957 40.7427341830597)#line
5339#606#3655#380000#######621.088249644588#####''#SRID=4326;LINESTRING(26.9551331275716 38.7401176146203,26.9527944173932 38.7457238606978)#line
4402#386#451#380000;380000;380000#3;3;3###Tepeören TM - Adapazarı TM EİH;Tepeören TM - Adapazarı TM EİH;Tepeören TM - Adapazarı TM EİH###87490.2544746959#####''#SRID=4326;LINESTRING(29.3993810381285 40.8929546935048,30.3841831876957 40.7427341830597)#line
4429#390#537#380000;380000;380000;380000;380000;380000;380000;380000#3;3;3;3;3;3;3;3###Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH##3Ph-139#140125.032705295#####''#SRID=4326;LINESTRING(35.1338347001554 38.2433989305776,36.605141215213 38.0906311040606)#line
4431#797#3519#380000;380000;380000;380000;380000;380000#2;2;2;2;2;2###Seydişehir TM - Adana TM EİH;Seydişehir TM - Adana TM EİH;Seydişehir TM - Adana TM EİH;Seydişehir TM - Adana TM EİH;Seydişehir TM - Adana TM EİH;Seydişehir TM - Adana TM EİH###152748.922787643#####''#SRID=4326;LINESTRING(35.5110508629917 37.1061460814865,34.0815984062087 37.5519835945745)#line
4434#3425#493#380000;380000;380000####Germencik TM - Uzundere TM EİH;Germencik TM - Uzundere TM EİH;Germencik TM - Uzundere TM EİH###74012.1666618107#####''#SRID=4326;LINESTRING(27.5158375067332 37.8251436620583,27.1034890263787 38.350788094454)#line
4425#4012#408#380000;380000;380000;380000;380000;380000;380000;380000;380000;380000#2;2;2;2;2;2;2;2;2;2###Işıklar TM - Seyitömer TM EİH;Işıklar TM - Seyitömer TM EİH;Işıklar TM - Seyitömer TM EİH;Işıklar TM - Seyitömer TM EİH;Işıklar TM - Seyitömer TM EİH;Işıklar TM - Seyitömer TM EİH;Işıklar TM - Seyitömer TM EİH;Işıklar TM - Seyitömer TM EİH;Işıklar TM - Seyitömer TM EİH;Işıklar TM - Seyitömer TM EİH###289654.660951672#####''#SRID=4326;LINESTRING(29.883780747709 39.5741571738646,27.2422142832044 38.4186463177372)#line
4439#451#3525#380000;380000;380000#6;3;3###Adapazarı TM EİH;Adapazarı TM EİH###32995.1915861838#####''#SRID=4326;LINESTRING(30.3841831876957 40.7427341830597,30.0108283481464 40.797073627768)#line
4607#493#3976#380000;380000;380000;380000;380000#3;3;3;3;3###Aliağa-2 TM - Uzundere TM EİH;Aliağa-2 TM - Uzundere TM EİH;Aliağa-2 TM - Uzundere TM EİH;Aliağa-2 TM - Uzundere TM EİH;Aliağa-2 TM - Uzundere TM EİH###61221.5143854979#####''#SRID=4326;LINESTRING(27.1034890263787 38.350788094454,26.9893418357385 38.7072222487014)#line
4440#3525#4033#380000;380000;380000;380000#3;3;3;3###Bursa DGKÇ TM EİH;Bursa DGKÇ TM EİH;Bursa DGKÇ TM EİH;Bursa DGKÇ TM EİH###118104.129070007#####''#SRID=4326;LINESTRING(30.0108283481464 40.797073627768,29.0730323437027 40.2934232679065)#line
4443#273#4049#380000;380000;380000;380000;380000;380000;380000;380000;380000;380000####Erzurum 3 TM - Borçka TM EİH;Erzurum 3 TM - Borçka TM EİH;Erzurum 3 TM - Borçka TM EİH;Erzurum 3 TM - Borçka TM EİH;Erzurum 3 TM - Borçka TM EİH;Erzurum 3 TM - Borçka TM EİH;Erzurum 3 TM - Borçka TM EİH;Erzurum 3 TM - Borçka TM EİH;Erzurum 3 TM - Borçka TM EİH;Erzurum 3 TM - Borçka TM EİH###198456.09656774#####''#SRID=4326;LINESTRING(41.683285151674 41.3510315809713,41.1071722890247 39.928952415496)#line
4654#249#3487#380000;380000;380000#3;3;3#3;3;3#####101477.789242482#####''#SRID=4326;LINESTRING(29.2421230439306 40.9962027983155,30.3926006657985 40.8214697526587)#line
4446#3499#393#380000;380000;380000;380000;380000;380000;380000;380000;380000;380000;380000;380000;380000;380000#3;3;3;3;3;3;3;3;3;3;3;3;3;3#3;3;3;3;3;3;3##Kayabaşı TM - Bağlum TM EİH;Kayabaşı TM - Bağlum TM EİH;Kayabaşı TM - Bağlum TM EİH;Bağlum TM - Kayabaşı TM EİH;Bağlum TM - Kayabaşı TM EİH;Kayabaşı TM - Bağlum TM EİH;Kayabaşı TM - Bağlum TM EİH;Bağlum TM - Kayabaşı TM EİH;Kayabaşı TM - Bağlum TM EİH;Kayabaşı TM - Bağlum TM EİH;Bağlum TM - Kayabaşı TM EİH;Bağlum TM - Kayabaşı TM EİH;Kayabaşı TM - Bağlum TM EİH;Bağlum TM - Kayabaşı TM EİH###265101.788344341#####''#SRID=4326;LINESTRING(32.8201704298558 40.0506242711856,35.7377114673774 40.5712973723538)#line
4475#3537#3540#380000;380000;380000;380000####Kayseri SKM - Keban-2 TM EİH;Kayseri SKM - Keban-2 TM EİH;Kayseri SKM - Keban-2 TM EİH;Kayseri SKM - Keban-2 TM EİH###73797.1035873216#####''#SRID=4326;LINESTRING(37.6947454582998 38.7264982493216,36.8852101347207 38.8410631820183)#line
4447#823#393#380000;380000;380000;380000;380000;380000;380000;380000;380000;380000;380000;380000#3;3;3;3;3;3;3;3;3;3;3;3###Kayabaşı TM - Kurşunlu TM EİH;Kayabaşı TM - Kurşunlu TM EİH;Kayabaşı TM - Kurşunlu TM EİH;Kayabaşı TM - Kurşunlu TM EİH;Kayabaşı TM - Kurşunlu TM EİH;Kayabaşı TM - Kurşunlu TM EİH;Kayabaşı TM - Kurşunlu TM EİH;Kayabaşı TM - Kurşunlu TM EİH;Kayabaşı TM - Kurşunlu TM EİH;Kayabaşı TM - Kurşunlu TM EİH;Kayabaşı TM - Kurşunlu TM EİH;Kayabaşı TM - Kurşunlu TM EİH###216437.792623866#####''#SRID=4326;LINESTRING(33.3351700146303 40.7848125250412,35.7377114673774 40.5712973723538)#line
4474#3536#3539#380000;380000;380000;380000####Kayseri SKM - Keban-2 TM EİH;Kayseri SKM - Keban-2 TM EİH;Kayseri SKM - Keban-2 TM EİH;Kayseri SKM - Keban-2 TM EİH###73783.7508859794#####''#SRID=4326;LINESTRING(37.694429790309 38.7259497911754,36.8850271478973 38.8404352795859)#line
4731#451#4034#380000;380000#3;3###Adapazarı-2 TM - Adapazarı-1 DGKÇ EİH;Adapazarı-2 TM - Adapazarı-1 DGKÇ EİH###18831.1255457975#####''#SRID=4326;LINESTRING(30.3841831876957 40.7427341830597,30.39327402183 40.863676288571)#line
4457#527#4069#380000;380000;380000;380000;380000;380000;380000#3;3;3;3;3;3;3###Kangal TS - Keban HES EİH;Kangal TS - Keban HES EİH;Kangal TS - Keban HES EİH;Kangal TS - Keban HES EİH;Kangal TS - Keban HES EİH;Kangal TS - Keban HES EİH;Kangal TS - Keban HES EİH###139628.965159492#####''#SRID=4326;LINESTRING(37.2962218229876 39.0795730823484,38.6778439612335 38.8152653100495)#line
