l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
18572#1809#3117#600000;600000;600000;500000;600000;600000#2;2;2;2;2;2##0;0;0;0;0;0#HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South###390474.995685663#####''#SRID=4326;LINESTRING(-47.1036569392876 -23.6657903593911,-50.8557330481667 -24.3211258410635)#line
1624#1254#2780########29396.779299756#####''#SRID=4326;LINESTRING(-53.1337832424146 -17.1163204006765,-53.3204804088338 -17.2473945938215)#line
1486#1172#1433#220000#3##50#Línea 220 kV El Cobre Gaby 57 km/189 MVA###57672.6901787756#####''#SRID=4326;LINESTRING(-69.3844223051971 -23.4540177997078,-68.8224830898608 -23.4414715830217)#line
1488#1174#1380#138000#######31413.7678763231#####''#SRID=4326;LINESTRING(-58.8300223788941 -15.38163485881,-58.9807882429246 -15.1372151375114)#line
1492#485#2719########107756.369481543#####''#SRID=4326;LINESTRING(-58.0763684158301 -14.748223966731,-58.174432498742 -15.6407033067654)#line
1438#1615#2052#750000#3##60####303521.816936587#####''#SRID=4326;LINESTRING(-46.2732905718022 -23.7105227431303,-49.1320430816128 -23.9513974043535)#line
1521#1204#2193#345000#3##60####73973.1563164215#####''#SRID=4326;LINESTRING(-43.4028443691244 -21.7110867130715,-43.7545144243883 -21.1863327991059)#line
13116#18941#18943##4######174.568646253367#####''#SRID=4326;LINESTRING(-37.519145481506 -6.90398144717974,-37.5207428657442 -6.90396218426496)#line
1566#1452#19373#220000#3##50####42046.0189120017#####''#SRID=4326;LINESTRING(-68.5913277233691 -20.6101371779179,-68.6364832679087 -20.9780959994861)#line
1575#3100#3703#####Rurópolis - Santarém###205575.230694002#####''#SRID=4326;LINESTRING(-54.8971679352657 -4.07425527415555,-54.7307285898038 -2.48263606976053)#line
1752#1544#2239########10996.3432268787#####''#SRID=4326;LINESTRING(-48.405716965125 -21.328459699579,-48.4818033781863 -21.3994066884734)#line
